//Section   Type   Level   Dur   Skill   Luck   Option   ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5
14          0      9       255     0       0      0        0	0	0	0	255	255	255	255	255
14          1      9       255     0       0      0        0	0	0	0	255	255	255	255	255
14          2      9       255     0       0      0        0	0	0	0	255	255	255	255	255
14          3      9       255     0       0      0        0	0	0	0	255	255	255	255	255
14          4      9       255     0       0      0        0	0	0	0	255	255	255	255	255
14          5      9       255     0       0      0        0	0	0	0	255	255	255	255	255
14          6      9       255     0       0      0        0	0	0	0	255	255	255	255	255
14          8      9       255     0       0      0        0	0	0	0	255	255	255	255	255
14          0      9       255     0       0      0        0	0	0	0	255	255	255	255	255
14          1      9       255     0       0      0        0	0	0	0	255	255	255	255	255
14          2      9       255     0       0      0        0	0	0	0	255	255	255	255	255
14          3      9       255     0       0      0        0	0	0	0	255	255	255	255	255
14          4      9       255     0       0      0        0	0	0	0	255	255	255	255	255
14          5      9       255     0       0      0        0    0	0	0	255	255	255	255	255
14          6      9       255     0       0      0        0    0	0	0	255	255	255	255	255
14          8      9       255     0       0      0        0    0	0	0	255	255	255	255	255
14          0      9       255     0       0      0        0    0	0	0	255	255	255	255	255
14          1      9       255     0       0      0        0    0	0	0	255	255	255	255	255
14          2      9       255     0       0      0        0    0	0	0	255	255	255	255	255
14          3      9       255     0       0      0        0    0	0	0	255	255	255	255	255
14          0      9       255     0       0      0        0    0	0	0	255	255	255	255	255
14          1      9       255     0       0      0        0    0	0	0	255	255	255	255	255
14          2      9       255     0       0      0        0    0	0	0	255	255	255	255	255
14          3      9       255     0       0      0        0    0	0	0	255	255	255	255	255
end
