//Section   Type   Level   Dur   Skill   Luck   Option   ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5
0	211	10	255	1	1	7	63	0	0	0	255	255	255	255	255
2	204	10	255	1	1	7	63	0	0	0	255	255	255	255	255
4	102	10	255	1	1	7	63	0	0	0	255	255	255	255	255
5	205	10	255	1	1	7	63	0	0	0	255	255	255	255	255
6	205	10	255	1	1	7	63	0	0	0	255	255	255	255	255
7	215	10	255	1	1	7	63	0	0	0	255	255	255	255	255
8	215	10	255	1	1	7	63	0	0	0	255	255	255	255	255
9	215	10	255	1	1	7	63	0	0	0	255	255	255	255	255
11	215	10	255	1	1	7	63	0	0	0	255	255	255	255	255
10	215	10	255	1	1	7	63	0	0	0	255	255	255	255	255
end
