//Section   Type   Level   Dur   Skill   Luck   Option   ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5
7	0	13	0	0	1	7	4		0		0	0	255		255		255		255		255
7	6	13	0	0	1	7	4 0		0	0	255		255		255		255		255
7	8	13	0	0	1	7	4 0		0	0	255		255		255		255		255
7	9	13	0	0	1	7	4 0		0	0	255		255		255		255		255
8	0	13	0	0	1	7	4 0		0	0	255		255		255		255		255
8	6	13	0	0	1	7	4 0		0	0	255		255		255		255		255
8	8	13	0	0	1	7	4 0		0	0	255		255		255		255		255
8	9	13	0	0	1	7	4 0		0	0	255		255		255		255		255
10	0	13	0	0	1	7	4 0		0	0	255		255		255		255		255
10	6	13	0	0	1	7	4 0		0	0	255		255		255		255		255
10	8	13	0	0	1	7	4 0		0	0	255		255		255		255		255
10	9	13	0	0	1	7	4 0		0	0	255		255		255		255		255
9	0	13	0	0	1	7	4 0		0	0	255		255		255		255		255
9	6	13	0	0	1	7	4 0		0	0	255		255		255		255		255
9	8	13	0	0	1	7	4 0		0	0	255		255		255		255		255
9	9	13	0	0	1	7	4 0		0	0	255		255		255		255		255
11	0	13	0	0	1	7	4 0		0	0	255		255		255		255		255
11	6	13	0	0	1	7	4 0		0	0	255		255		255		255		255
11	8	13	0	0	1	7	4 0		0	0	255		255		255		255		255
11	9	13	0	0	1	7	4 0		0	0	255		255		255		255		255
12	7	0	0	0	1	0	0  0		0	0	255		255		255		255		255
12	12	0	0	0	1	0	0  0		0	0	255		255		255		255		255
12	13	0	0	0	1	0	0  0		0	0	255		255		255		255		255
12	19	0	0	0	1	0	0  0		0	0	255		255		255		255		255
12	14	0	0	0	1	0	0  0		0	0	255		255		255		255		255
12	44	0	0	0	1	0	0  0		0	0	255		255		255		255		255
14	3	13	100	0	1	0	0  0		0	0	255		255		255		255		255
14	6	13	100	0	1	0	0  0		0	0	255		255		255		255		255
14	8	13	100	0	1	0	0  0		0	0	255		255		255		255		255
0	3	13	100	1	1	7	4 0		0	0	255		255		255		255		255
0	4	13	100	1	1	7	4 0		0	0	255		255		255		255		255
0	5	13	100	1	1	7	4 0		0	0	255		255		255		255		255
0	7	13	100	1	1	7	4 0		0	0	255		255		255		255		255
6	2	13	100	1	1	7	4 0		0	0	255		255		255		255		255
6	9	13	100	1	1	7	4 0		0	0	255		255		255		255		255
6	12	13	100	1	1	7	4 0		0	0	255		255		255		255		255
6	11	13	100	1	1	7	4 0		0	0	255		255		255		255		255
end
